"","x"
"1","3830721"
"2","7692442"
"3","14138214"
"4","14294095"
"5","14903363"
"6","15317658"
"7","15363849"
"8","16030189"
"9","16275761"
"10","17039770"
"11","17293518"
"12","17733768"
"13","18118589"
"14","18483704"
"15","18641568"
"16","19838845"
"17","20648004"
"18","21606895"
"19","23461289"
"20","23941676"
"21","25176249"
"22","25519508"
"23","26012373"
"24","26584666"
"25","29854960"
"26","30144880"
"27","32300069"
"28","32354020"
"29","33454567"
"30","33533387"
"31","34432277"
"32","34936153"
"33","34938685"
"34","35820634"
"35","37335352"
"36","37784870"
"37","39076717"
"38","39571610"
"39","40039827"
"40","41030101"
"41","41602054"
"42","43739152"
"43","45875013"
"44","46722208"
"45","46742666"
"46","49035326"
"47","51154626"
"48","55151264"
"49","57188192"
"50","59305914"
"51","61356353"
"52","64844625"
"53","68462572"
"54","68730213"
"55","73798596"
"56","79836982"
"57","83997088"
"58","85204298"
"59","87877239"
"60","90490023"
"61","100112271"
"62","112586615"
"63","113426345"
"64","119796884"
"65","125032718"
"66","125488570"
"67","128751374"
"68","129348336"
"69","137310862"
"70","138608207"
"71","142387222"
"72","144530682"
"73","145312538"
"74","146059066"
"75","153865176"
"76","159459499"
"77","159902594"
"78","163126294"
"79","171567324"
"80","181163586"
"81","202041991"
"82","216593250"
"83","220857323"
"84","221767765"
"85","240818392"
"86","249831776"
"87","249853776"
"88","250304006"
"89","257728261"
"90","276343950"
"91","295454511"
"92","296117451"
"93","304653903"
"94","312368367"
"95","328854374"
"96","337848533"
"97","338108448"
"98","346877969"
"99","353455698"
"100","361080144"
"101","389783318"
"102","396383689"
"103","420526249"
"104","456320200"
"105","475793979"
"106","522045173"
"107","529561683"
"108","569934365"
"109","586986368"
"110","614769219"
"111","615491164"
"112","626415169"
"113","632106692"
"114","715301060"
"115","719262798"
"116","734151200"
"117","766622396"
"118","851909418"
"119","863414130"
"120","873008552"
"121","1077673825"
"122","1137172315"
"123","1145130770"
"124","1685930761"
"125","1701611497"
"126","1723122462"
"127","2218383848"
"128","2226004315"
"129","2345720258"
"130","2410201324"
"131","2504450426"
"132","2568233375"
"133","2569853683"
"134","2754812353"
"135","3073330546"
"136","3121266363"
"137","3128047118"
"138","3282019226"
"139","4916456920"
"140","724370520146243584"
"141","847958355259916289"
"142","865360587529781248"
"143","873913681788194817"
"144","883125481578647552"
"145","14219270"
"146","14249552"
"147","15545303"
"148","15708372"
"149","15762946"
"150","18124418"
"151","18810783"
"152","18857967"
"153","20005543"
"154","20731190"
"155","22019970"
"156","24755071"
"157","25521458"
"158","30019450"
"159","31079109"
"160","32324495"
"161","35471497"
"162","37078735"
"163","37231623"
"164","37652786"
"165","39600569"
"166","46143391"
"167","47667263"
"168","54411484"
"169","82372664"
"170","90563353"
"171","96816475"
"172","96849660"
"173","101846005"
"174","116981760"
"175","118825250"
"176","122847922"
"177","149926801"
"178","188881913"
"179","191065949"
"180","197214873"
"181","208881440"
"182","249829927"
"183","249881371"
"184","251841361"
"185","252668237"
"186","261279180"
"187","274805762"
"188","286281555"
"189","287215853"
"190","321738483"
"191","453165881"
"192","463234294"
"193","517178171"
"194","531042909"
"195","590060558"
"196","590123108"
"197","597927749"
"198","599549147"
"199","613071731"
"200","622929736"
"201","726840378"
"202","760106538"
"203","946223418"
"204","1005006012"
"205","1006988148"
"206","1301716807"
"207","1329702426"
"208","1422301194"
"209","2356530692"
"210","2544227706"
"211","2682367284"
"212","2764558878"
"213","2834894854"
"214","2873145693"
"215","2885261891"
"216","2885962797"
"217","2896021581"
"218","3344579188"
"219","4505137126"
"220","734045593648136193"
"221","793809404764258304"
"222","830801855869509634"
"223","867470918636982272"
"224","885306633009627136"
"225","14668967"
"226","17273503"
"227","19731508"
"228","22294866"
"229","32938522"
"230","34327447"
"231","37020944"
"232","39000820"
"233","41431349"
"234","42409276"
"235","45828921"
"236","46527987"
"237","46687089"
"238","61603572"
"239","67197345"
"240","69245594"
"241","74517176"
"242","80663692"
"243","83830580"
"244","114745515"
"245","140467070"
"246","147482482"
"247","148562206"
"248","161052715"
"249","161829887"
"250","168939118"
"251","172490710"
"252","174965647"
"253","192796997"
"254","196851359"
"255","198343949"
"256","200298221"
"257","209524905"
"258","214185712"
"259","217995210"
"260","228832947"
"261","255562931"
"262","283872110"
"263","329849279"
"264","361947500"
"265","370386760"
"266","375868533"
"267","454834977"
"268","490828910"
"269","585859864"
"270","723978829"
"271","760018086"
"272","838534374"
"273","863329134"
"274","881324413"
"275","1228000748"
"276","1388447456"
"277","1618978124"
"278","1623370094"
"279","1633974895"
"280","1733289434"
"281","2224279229"
"282","2287568552"
"283","2409580957"
"284","2770042961"
"285","2859813383"
"286","2996839398"
"287","3062498343"
"288","3178579389"
"289","3313070021"
"290","3385088447"
"291","4718832154"
"292","4817960306"
"293","768462046572740609"
"294","775817586407714817"
"295","800394286151782400"
"296","818978745897861120"
"297","850571377954480128"
"298","872211448205901824"
"299","891029244209491970"
"300","12582802"
"301","15588444"
"302","15646188"
"303","16197215"
"304","17242537"
"305","17389724"
"306","18198776"
"307","20612076"
"308","21496432"
"309","25508542"
"310","27766918"
"311","29260048"
"312","33993586"
"313","34916532"
"314","37813093"
"315","38632441"
"316","42343446"
"317","43186245"
"318","55169233"
"319","55651109"
"320","65973927"
"321","73984351"
"322","76602241"
"323","89580607"
"324","92875544"
"325","93768238"
"326","96236196"
"327","101997403"
"328","103397967"
"329","138461376"
"330","145869952"
"331","189959401"
"332","195087273"
"333","206833383"
"334","222362286"
"335","222723833"
"336","225940645"
"337","236025057"
"338","242320912"
"339","249741369"
"340","261027556"
"341","274826710"
"342","292121179"
"343","310024742"
"344","364241914"
"345","367185521"
"346","459837492"
"347","527006747"
"348","554796679"
"349","916652137"
"350","1607446021"
"351","1927099676"
"352","1930759645"
"353","2175192221"
"354","2225547304"
"355","2277762612"
"356","2336328791"
"357","2364707288"
"358","2418268237"
"359","2453701002"
"360","2510489062"
"361","3012364953"
"362","3028154115"
"363","3068200173"
"364","3188729607"
"365","3283985028"
"366","3316457605"
"367","3331624961"
"368","3907380998"
"369","745266923831762944"
"370","784436684314247168"
"371","792145454607790080"
"372","821017603514757121"
"373","14289249"
"374","14386940"
"375","15840195"
"376","16387706"
"377","16512380"
"378","16792525"
"379","16813801"
"380","17738954"
"381","17812714"
"382","18308916"
"383","18876953"
"384","19626613"
"385","22319829"
"386","22682484"
"387","22792382"
"388","23273284"
"389","25114982"
"390","25774669"
"391","26290862"
"392","26818177"
"393","27455711"
"394","28884479"
"395","28939258"
"396","32441022"
"397","35312717"
"398","35864324"
"399","39249896"
"400","41901869"
"401","44710801"
"402","49799437"
"403","49973294"
"404","50278487"
"405","56233046"
"406","57516091"
"407","59475650"
"408","62406311"
"409","74653022"
"410","76260582"
"411","103659991"
"412","107591264"
"413","110086506"
"414","130406852"
"415","137570443"
"416","150502025"
"417","164031568"
"418","189985785"
"419","200912141"
"420","213760261"
"421","216264473"
"422","220689884"
"423","223692567"
"424","226148151"
"425","243684822"
"426","244627772"
"427","254515527"
"428","273690173"
"429","325716745"
"430","330755890"
"431","391521019"
"432","443774029"
"433","449204745"
"434","457922951"
"435","569528034"
"436","579476038"
"437","612041712"
"438","908913499"
"439","910887804"
"440","951065899"
"441","999662563"
"442","1060153436"
"443","1061855816"
"444","1064837102"
"445","1309436809"
"446","1323230916"
"447","1357015122"
"448","1587384890"
"449","2209043497"
"450","2221804001"
"451","2254159465"
"452","2419524883"
"453","2740460908"
"454","2865818769"
"455","2988239835"
"456","3015760259"
"457","3321682311"
"458","3379627575"
"459","3484261641"
"460","3820476399"
"461","3973226032"
"462","700423447235661824"
"463","784814736332423168"
"464","10285"
"465","14572625"
"466","14666401"
"467","14991834"
"468","15591603"
"469","16579539"
"470","16588258"
"471","16716202"
"472","17442997"
"473","17663310"
"474","18306465"
"475","18706381"
"476","18782908"
"477","19597800"
"478","19856771"
"479","23007582"
"480","23354879"
"481","24514995"
"482","24777687"
"483","25726602"
"484","26590379"
"485","26898929"
"486","30802620"
"487","32387656"
"488","32508352"
"489","34118668"
"490","37591630"
"491","37670650"
"492","38524660"
"493","39436722"
"494","40251676"
"495","42418374"
"496","46486358"
"497","50117961"
"498","55001026"
"499","55784044"
"500","67134442"
"501","68469696"
"502","74213300"
"503","80159821"
"504","90287059"
"505","115411860"
"506","123356194"
"507","131236085"
"508","131912469"
"509","133087677"
"510","148104820"
"511","149701795"
"512","163608629"
"513","176169921"
"514","178003203"
"515","185725045"
"516","188415757"
"517","190501756"
"518","204011130"
"519","225828296"
"520","232310538"
"521","284685111"
"522","291846763"
"523","312144879"
"524","327327574"
"525","329960713"
"526","366372308"
"527","438071349"
"528","439712473"
"529","442049427"
"530","445561134"
"531","526943146"
"532","562139548"
"533","603069163"
"534","804714062"
"535","865242169"
"536","991979821"
"537","1478407831"
"538","1596826868"
"539","2170027037"
"540","2182318631"
"541","2284202918"
"542","2317779042"
"543","2391889031"
"544","2400124077"
"545","2423180386"
"546","2575222927"
"547","2584103762"
"548","2710893068"
"549","2889113486"
"550","3007245948"
"551","3075359237"
"552","3307699221"
"553","3318266650"
"554","4522026202"
"555","701822142988607488"
"556","707732304978911233"
