"","x"
"1","12254152"
"2","113935507"
"3","556243047"
"4","737819714"
"5","2992528480"
"6","4460389937"
"7","18198004"
"8","57988004"
"9","122402009"
"10","150758689"
"11","353554231"
"12","1610648526"
"13","2706333926"
"14","18569277"
"15","19628221"
"16","21685744"
"17","23997365"
"18","31915045"
"19","356573440"
"20","17738954"
"21","76260582"
"22","869968800850083843"
"23","804714062"
"24","956602764"
"25","20008979"
"26","25897909"
"27","127682811"
"28","316190992"
"29","374817001"
"30","389926117"
"31","1064647765"
"32","2878157795"
"33","738962604534595584"
"34","24822777"
"35","29642640"
"36","268122276"
"37","617593004"
"38","2151583411"
"39","26185126"
"40","60996137"
"41","64057515"
"42","100403637"
"43","493721846"
"44","1450435934"
"45","42822503"
"46","156835831"
"47","529752053"
"48","991886918"
"49","2312386578"
"50","18067996"
"51","19026027"
"52","37543253"
"53","153234894"
"54","281609762"
"55","2196668954"
"56","4292934375"
"57","29997933"
"58","31580462"
"59","32124624"
"60","190281474"
"61","259713506"
"62","449076145"
"63","770559404"
"64","28572930"
"65","66320861"
"66","309103491"
"67","491984214"
"68","4028088857"
"69","14305554"
"70","32555708"
"71","132898650"
"72","357675381"
"73","75460379"
"74","341641295"
"75","385899644"
"76","3104136063"
"77","9774972"
"78","34546833"
"79","39937628"
"80","70489428"
"81","166611917"
"82","18076021"
"83","34924296"
"84","3027515319"
"85","8471112"
"86","35148553"
"87","350516994"
"88","405874317"
"89","1453127485"
"90","126112937"
"91","179123867"
"92","945742712"
"93","2235202646"
"94","95285217"
"95","136380084"
"96","173475901"
"97","247445347"
"98","2418835007"
"99","3431709107"
"100","14206859"
"101","71697630"
"102","341623601"
"103","990176329"
"104","17521364"
"105","94462943"
"106","47826014"
"107","38965103"
"108","273348403"
"109","772731404"
"110","45919388"
"111","8160512"
"112","26904756"
"113","44347125"
"114","181786670"
"115","276781594"
"116","317340647"
"117","8313462"
"118","75630448"
"119","509163433"
"120","15402455"
"121","40023094"
"122","118912806"
"123","333845149"
"124","752173236"
"125","913238424"
"126","1009654759"
"127","2970019484"
