user,user,lat,long
3819851,3819851,34.5145,-82.6489
3830721,3830721,38.6236075,-81.58044
6057882,6057882,35.6321642,139.88684836
7692442,7692442,40.61439186,-75.36788137
8560132,8560132,50.94064,6.95741
9745112,9745112,41.58,-81.4192
14219270,14219270,40.63658667,-111.4786032
14294095,14294095,33.97983968,-84.21847944
14572625,14572625,41.97978622,-87.62456473
14668967,14668967,35.20007342,-101.91339949
15646356,15646356,42.48638818,-70.98677116
15691524,15691524,37.91,-122.047
16852970,16852970,39.87,-74.25
16988595,16988595,33.81244737,-117.67313832
17442997,17442997,35.066004,-85.343993
17734782,17734782,43.05647251,-80.9876149
17923187,17923187,36.04405613,121.60611211
18085228,18085228,46.89,-94.14109
18124418,18124418,33.81253213,-81.5551605
18140160,18140160,39.14349,-84.50995
18483704,18483704,40.798056,-73.87200384
18538247,18538247,34.00120323,-84.332415
19223245,19223245,34.9458812,-86.5750434
19361658,19361658,34.0522,-118.243
19626613,19626613,35.979536,-83.9422
19679588,19679588,33.81326208,-81.40674
19929207,19929207,40.75938,-73.86097865
19947291,19947291,39.29744311,-81.4691
20364570,20364570,52.0594,1.1556
21019383,21019383,40.92394811,-72.24543962
21483130,21483130,45.0983,17.52995452
21898069,21898069,42.79876471,-80.94305556
22218401,22218401,33.7489,-80.613
22344024,22344024,34.16639,-118.32396
22682484,22682484,40.7142,-73.9785057
23007582,23007582,33.66133844,-84.36954919
23535448,23535448,50.85,4.35
23617627,23617627,52.1167,-0.1439311
23735472,23735472,38.19713,-85.84744
23941676,23941676,39.13724,-94.58175
23979148,23979148,34.8443,-81.38126295
24330129,24330129,40.89127,-74.12705
24514995,24514995,33.4798,-83.5
24755071,24755071,31.50926,-82.85012
25055750,25055750,36.73477621,-76.08215321
25202388,25202388,32.7833,-96.8
25508542,25508542,37.33731,-121.8888
25726602,25726602,39.85436,-86.10473
26290862,26290862,40.0,-100.0
26584666,26584666,36.17320195,-80.6533585
27960839,27960839,31.65765766,-81.86119699
28815299,28815299,38.66347372,-80.8461
29253539,29253539,33.76941,-81.4492702
29854960,29854960,37.64016741,-81.40674
29998633,29998633,32.394679,-81.8204051
30144880,30144880,34.16920516,-118.1453278
30212242,30212242,42.28376864,-71.05547876
30760378,30760378,44.8219,-63.5508
31079109,31079109,32.07962,-81.09356
31465192,31465192,43.680882,-71.764141
31566497,31566497,41.87863889,-87.64025
32300069,32300069,40.6925,-74.1686
32612108,32612108,44.0094,-78.2073
33533387,33533387,41.8489,-72.5722
34926548,34926548,33.25,-79.83
35196855,35196855,33.77338,-84.3613963
36138505,36138505,40.910667,-74.1777975
37591630,37591630,40.6897596,-73.8439556
38524660,38524660,40.74593584,-73.84350331
38632441,38632441,55.61551842,-2.61593682
40135220,40135220,36.2135,-81.51629
40360183,40360183,51.64870258,-0.51498413
41030101,41030101,42.354,-73.805
41339403,41339403,40.53033759,-80.00539424
41901869,41901869,42.36137,-71.06285723
41995398,41995398,40.72692109,-74.0380867
42074161,42074161,36.16947685,-86.7741394
42323552,42323552,45.0046528,-93.22822094
43002297,43002297,40.7142,-74.0064
43150921,43150921,49.24731275,8.62310431
43574503,43574503,33.53477721,-82.00485979
45956963,45956963,36.119001,-84.38322067
46277380,46277380,33.8627,-84.3335
46742666,46742666,51.45,-2.58333
48775849,48775849,40.7142,-74.0064
50117961,50117961,35.7789,-78.8002
50349194,50349194,42.34566347,-87.6548
50612214,50612214,40.689167,-74.044444
50631820,50631820,43.64203,-79.3906
50948529,50948529,40.71126517,-74.26980972
51595061,51595061,37.9291,-80.18515433
53278181,53278181,38.0345,-78.4865
55001026,55001026,40.11799116,-85.55431972
55450285,55450285,40.5889499,-73.6594
57732005,57732005,41.48017131,-81.39822
57865488,57865488,34.01068295,-81.56039602
58030028,58030028,39.1705822,-86.7437295
59380673,59380673,41.90765122,-83.37446336
60887894,60887894,33.73177733,-111.85328411
61255204,61255204,38.76875246,-90.50258968
61603572,61603572,42.3770665,12.48166667
64619379,64619379,32.96137567,-96.57222703
65174021,65174021,51.5,-0.13333333
68779154,68779154,33.88888889,-76.44548896
69245594,69245594,33.9323,-118.248
70269660,70269660,41.976661,-87.6247999
72189004,72189004,42.3656586,-71.01854617
79319564,79319564,40.73956,-73.99409
80086096,80086096,36.05607985,-46.47305556
83997088,83997088,55.0,-96.94726878
85112431,85112431,33.51374124,-82.10930258
86265662,86265662,53.46325868,-0.12731805
86605718,86605718,53.36184,-2.27075
87188071,87188071,61.5997222,176.2232938
88836305,88836305,41.97751817,-73.87200384
89580607,89580607,40.54593,-61.01002516
89613166,89613166,41.9069,-73.8083
92361572,92361572,36.11506615,-80.12863
93953545,93953545,33.79,-83.5
96849660,96849660,38.64858,-90.1754305
97621337,97621337,41.10328474,29.15897253
98560979,98560979,43.7166,-79.3407
103499220,103499220,43.7166,-79.29490538
103659991,103659991,43.64166667,-72.14527778
110306471,110306471,32.50158,-92.16476
111923875,111923875,34.13827006,-81.46574943
114745515,114745515,40.6087,-74.0021
115931886,115931886,40.50138103,-74.85464048
118825250,118825250,33.7824,-84.3543
119796884,119796884,37.6096,-122.407
121922354,121922354,60.31803112,24.92973175
123356194,123356194,40.7142,-74.0064
124339670,124339670,38.72449223,-75.97562
126886982,126886982,38.63504413,-90.18737826
128751374,128751374,35.06984,-85.31751
129348336,129348336,33.5248,-82.47644812
130406852,130406852,34.0522,-118.128
130994584,130994584,38.88973011,-77.00703621
131912469,131912469,44.9730034,-93.23541519
133356665,133356665,33.789327,-84.3881
133691877,133691877,40.5675,-74.5375
137310862,137310862,41.09652913,-81.4702
138461376,138461376,40.3473701,-74.7269
144530682,144530682,36.165,-81.66
148104820,148104820,41.75884387,-88.21137428
149100718,149100718,40.92985,-72.86454
151918946,151918946,34.139027,-81.346132
154446053,154446053,40.0,-82.37
158219561,158219561,39.9777927,-75.1246177
161052715,161052715,36.61569034,-118.37511198
162011264,162011264,39.28757,-76.6074299
166808318,166808318,31.2841177,-85.1625
170329598,170329598,40.48643,-80.05481
173318132,173318132,39.28359761,-76.54883819
174965647,174965647,32.79111286,-96.83647105
183125055,183125055,31.2272,-80.19091
184809706,184809706,39.97,-75.75
186278396,186278396,38.85259,-77.04251594
188415757,188415757,40.86744444,-73.92150833
192239481,192239481,34.1408558,-118.32576728
192756249,192756249,42.47332201,-70.9432469
192796997,192796997,42.35007192,174.74
194844686,194844686,40.7142,-74.0064
195540755,195540755,41.97751817,-87.6844
196851359,196851359,35.02992609,-80.85268021
198343949,198343949,33.0879,-81.31148804
199265753,199265753,32.90375817,-82.7346802
200680540,200680540,34.01654943,-81.080807
203930370,203930370,65.0171966,174.77649
216264473,216264473,33.84529,-84.3268
218612744,218612744,39.1764,-74.7339
220689884,220689884,40.20791488,-75.27608942
220857323,220857323,31.15,-81.5
221249443,221249443,41.86394493,-87.65775181
222723833,222723833,34.0522,-118.243
228832947,228832947,51.51788,3.2088349
231076143,231076143,42.4053,-81.2649
231860883,231860883,41.88,-88.2825
233044246,233044246,31.51066465,-82.75761954
236495358,236495358,40.76517,-73.9785057
242165607,242165607,35.32758761,-80.71198187
244427277,244427277,37.7877074,76.275
251780578,251780578,33.64075563,-81.311582
254515527,254515527,36.88564875,-76.0872
255137259,255137259,48.85838631,2.29455382
257660090,257660090,31.9753,-80.8914
257728261,257728261,34.10935815,-83.76234204
258680541,258680541,33.75944044,-81.3858
261279180,261279180,39.95088,-82.772748
261750666,261750666,37.2694,-112.948
261880369,261880369,34.1213,-81.32445697
269949036,269949036,42.3732858,-71.1197705
271461320,271461320,40.75062929,-73.8762563
272061794,272061794,35.74735504,-78.68477604
273667350,273667350,32.46191,-84.9954
274275156,274275156,43.0283,-87.897
275200896,275200896,47.4446,-122.302
286281555,286281555,40.0,69.0
293069219,293069219,43.5242,-61.45
296025027,296025027,35.51835,-80.93283
304710704,304710704,42.3578,-71.0617
304825340,304825340,40.76147952,-73.977177
311490210,311490210,40.7142,-74.0064
312368367,312368367,33.9814148,-84.2153931
318671530,318671530,39.29307,-84.257192
318738166,318738166,33.95793,-84.78842
321738483,321738483,39.87222484,-75.67536579
325716745,325716745,39.85174728,-75.06922221
325786388,325786388,53.5582102,7.7427894
327327574,327327574,37.5383,-77.4615
328662196,328662196,36.86777,-77.49541
